
2024/10/16 (18:36:13) | ===> btop++ v.1.3.2
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (18:36:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/16 (18:40:10) | ===> btop++ v.1.3.2
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (18:40:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/16 (18:40:22) | ===> btop++ v.1.3.2
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (18:40:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/17 (12:02:05) | ===> btop++ v.1.3.2
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/17 (12:02:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/17 (12:02:14) | ===> btop++ v.1.3.2
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/17 (12:02:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/17 (12:02:48) | ===> btop++ v.1.3.2
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/17 (12:02:48) | WARNING: ROCm SMI: Failed to get GPU power usage
